url,relative_path,local_html_path,topic,subtopic,title,size_kb,status,timestamp
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/confirmation.htm,general/confirmation.htm,html/general/confirmation.htm,general,general,Business Object Confirmation,12,200,2026-02-12T17:06:31.560217
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/eresults.htm,general/eresults.htm,html/general/eresults.htm,general,general,Search Results,42,200,2026-02-12T17:06:31.865538
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/configure_workbench_user_access.htm,user_access/configure_workbench_user_access.htm,html/user_access/configure_workbench_user_access.htm,user_access,user_access,Configure Workbench User Access,10,200,2026-02-12T17:06:32.037151
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/content_manager/general.htm,content_manager/general.htm,html/content_manager/general.htm,content_manager,content_manager,Screen Set Manager: General,16,200,2026-02-12T17:06:32.190230
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/field_definitions/prevent_access_changes.htm,field_definitions/prevent_access_changes.htm,html/field_definitions/prevent_access_changes.htm,field_definitions,field_definitions,Prevent Access Changes,10,200,2026-02-12T17:06:32.357083
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/content_manager/identification.htm,content_manager/identification.htm,html/content_manager/identification.htm,content_manager,content_manager,Screen Set Manager: Identification,11,200,2026-02-12T17:06:32.637188
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/default_screen_set_access.htm,user_access/default_screen_set_access.htm,html/user_access/default_screen_set_access.htm,user_access,user_access,Configure Field Screen Set Access,9,200,2026-02-12T17:06:32.845721
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/status_type_filter_access.htm,user_access/status_type_filter_access.htm,html/user_access/status_type_filter_access.htm,user_access,user_access,Status Type Filter Access,9,200,2026-02-12T17:06:33.060642
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/action_checks.htm,user_access/action_checks.htm,html/user_access/action_checks.htm,user_access,user_access,Action Checks,11,200,2026-02-12T17:06:33.220329
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/configuring_report_workspace_user_access.htm,user_access/configuring_report_workspace_user_access.htm,html/user_access/configuring_report_workspace_user_access.htm,user_access,user_access,Configuring Report Workspace User Access,9,200,2026-02-12T17:06:33.380552
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/power_action.htm,user_access/power_action.htm,html/user_access/power_action.htm,user_access,user_access,Power Actions,9,200,2026-02-12T17:06:33.596333
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/user_access_type.htm,user_access/user_access_type.htm,html/user_access/user_access_type.htm,user_access,user_access,User Access Manager,17,200,2026-02-12T17:06:33.830765
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/action_reasons.htm,user_access/action_reasons.htm,html/user_access/action_reasons.htm,user_access,user_access,Action Reasons,11,200,2026-02-12T17:06:34.047517
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/action_execution.htm,user_access/action_execution.htm,html/user_access/action_execution.htm,user_access,user_access,Configure Action Execution Access,9,200,2026-02-12T17:06:34.305091
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/create_saved_query.htm,configuration/create_saved_query.htm,html/configuration/create_saved_query.htm,configuration,configuration,Creating and Managing Saved Queries,13,200,2026-02-12T17:06:34.525458
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/user_pref_access.htm,user_access/user_pref_access.htm,html/user_access/user_pref_access.htm,user_access,user_access,User Preference Access,9,200,2026-02-12T17:06:34.686904
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/agent_manager/saved_query.htm,agent_manager/saved_query.htm,html/agent_manager/saved_query.htm,agent_manager,agent_manager,Saved Queries,12,200,2026-02-12T17:06:34.842941
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/powdata_over.htm,planning/power_data/powdata_over.htm,html/planning/power_data/powdata_over.htm,planning,planning/power_data,Power Data,56,200,2026-02-12T17:06:35.136776
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/content_manager/default_criteria.htm,content_manager/default_criteria.htm,html/content_manager/default_criteria.htm,content_manager,content_manager,Screen Set Manager: Default Criteria,11,200,2026-02-12T17:06:35.527155
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/ui_configuration/configuring_global_header.htm,configuration/ui_configuration/configuring_global_header.htm,html/configuration/ui_configuration/configuring_global_header.htm,configuration,configuration/ui_configuration,Configuring the Global Header,20,200,2026-02-12T17:06:35.826432
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/gtm/powerdata/gtm_power_data.htm,gtm/powerdata/gtm_power_data.htm,html/gtm/powerdata/gtm_power_data.htm,gtm,gtm/powerdata,GTM Power Data,24,200,2026-02-12T17:06:36.042061
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/integration/integration_manager.htm,integration/integration_manager.htm,html/integration/integration_manager.htm,integration,integration,Integration Manager,11,200,2026-02-12T17:06:36.283475
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_management/domain_names.htm,user_management/domain_names.htm,html/user_management/domain_names.htm,user_management,user_management,Domain Name and XID Field Restrictions,10,200,2026-02-12T17:06:36.530465
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/25_status_messages/status_reason_code.htm,planning/power_data/25_status_messages/status_reason_code.htm,html/planning/power_data/25_status_messages/status_reason_code.htm,planning,planning/power_data,Reason Codes,9,200,2026-02-12T17:06:36.972180
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/general/search_gc3.htm,general/search_gc3.htm,html/general/search_gc3.htm,general,general,Search Business Objects,37,200,2026-02-12T17:06:37.204039
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/properties/glog/query.property.htm,properties/glog/query.property.htm,html/properties/glog/query.property.htm,properties,properties/glog,glog.query Properties,30,200,2026-02-12T17:06:37.653806
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/viewing_system_log_files.htm,planning/process_manager/process_manager/logs/viewing_system_log_files.htm,html/planning/process_manager/process_manager/logs/viewing_system_log_files.htm,planning,planning/process_manager,Viewing System Log Files,11,200,2026-02-12T17:06:37.920453
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/log_actions_smartlinks.htm,planning/process_manager/process_manager/logs/log_actions_smartlinks.htm,html/planning/process_manager/process_manager/logs/log_actions_smartlinks.htm,planning,planning/process_manager,Log Actions and SmartLinks,9,200,2026-02-12T17:06:38.238801
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/about_action_logging.htm,configuration/about_action_logging.htm,html/configuration/about_action_logging.htm,configuration,configuration,About Action Logging,10,200,2026-02-12T17:06:38.449081
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/25_general/log_files.htm,planning/power_data/25_general/log_files.htm,html/planning/power_data/25_general/log_files.htm,planning,planning/power_data,Logs,10,200,2026-02-12T17:06:38.805300
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/properties/glog/log.properties.htm,properties/glog/log.properties.htm,html/properties/glog/log.properties.htm,properties,properties/glog,glog.log Properties,12,200,2026-02-12T17:06:39.061125
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/database/logging_overview.htm,database/logging_overview.htm,html/database/logging_overview.htm,database,database,Logging Overview,10,200,2026-02-12T17:06:39.311197
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/25_general/log_component.htm,planning/power_data/25_general/log_component.htm,html/planning/power_data/25_general/log_component.htm,planning,planning/power_data,Log Components,10,200,2026-02-12T17:06:39.478966
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/misc/action_log_cleanup.htm,planning/process_manager/process_manager/misc/action_log_cleanup.htm,html/planning/process_manager/process_manager/misc/action_log_cleanup.htm,planning,planning/process_manager,Action Log Cleanup,10,200,2026-02-12T17:06:39.879754
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/system_log_ids.htm,planning/process_manager/process_manager/logs/system_log_ids.htm,html/planning/process_manager/process_manager/logs/system_log_ids.htm,planning,planning/process_manager,System Log IDs,56,200,2026-02-12T17:06:40.099354
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_management/menu_manager/public_menus.htm,user_management/menu_manager/public_menus.htm,html/user_management/menu_manager/public_menus.htm,user_management,user_management/menu_manager,Public Menus,10,200,2026-02-12T17:06:40.362119
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/ui_configuration/assigning_to_a_menu.htm,configuration/ui_configuration/assigning_to_a_menu.htm,html/configuration/ui_configuration/assigning_to_a_menu.htm,configuration,configuration/ui_configuration,Assigning a Screen Set or Workbench to a Menu,13,200,2026-02-12T17:06:40.783365
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/configuration/ui_configuration/customize_ui.htm,configuration/ui_configuration/customize_ui.htm,html/configuration/ui_configuration/customize_ui.htm,configuration,configuration/ui_configuration,Configuring the User Interface,10,200,2026-02-12T17:06:41.162857
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/manager_layout/configure_manager_layout.htm,manager_layout/configure_manager_layout.htm,html/manager_layout/configure_manager_layout.htm,manager_layout,manager_layout,Configuring Manager Layouts,11,200,2026-02-12T17:06:41.331861
